video_id,v_pub_datetime,v_total_comments,v_year_views,v_month_views,v_week_views,v_day_views,v_likes,v_dislikes,v_duration,v_cr_click_like_7_days,v_cr_click_dislike_7_days,v_cr_click_vtop_7_days,v_cr_click_long_view_7_days,v_cr_click_comment_7_days,v_cr_click_like_30_days,v_cr_click_dislike_30_days,v_cr_click_vtop_30_days,v_cr_click_long_view_30_days,v_cr_click_comment_30_days,v_cr_click_like_1_days,v_cr_click_dislike_1_days,v_cr_click_vtop_1_days,v_cr_click_long_view_1_days,v_cr_click_comment_1_days,v_is_hidden,v_is_deleted,v_avg_watchtime_1_day,v_avg_watchtime_7_day,v_avg_watchtime_30_day,v_frac_avg_watchtime_1_day_duration,v_frac_avg_watchtime_7_day_duration,v_frac_avg_watchtime_30_day_duration,v_category_popularity_percent_7_days,v_category_popularity_percent_30_days,v_long_views_1_days,v_long_views_7_days,v_long_views_30_days,row_number,title,description,category_id,author_id,title_length
b838bdd6-2ff4-40f6-b3f0-fc0289e67d7e,2022-10-14 12:06:53+03:00,1072279,24844183,2534083,611261,73131,6940,407,0.0,0.03370082501582793,0.0022903473311727722,0.031246881446714253,80.74668594920992,0.15214450128504844,0.0338189396322062,0.0029201884863281906,0.02849156874498586,79.70271691969047,0.13870895310058906,0.03555263841599322,0.002734818339691786,0.030083001736609646,80.90960057978148,0.14357796283381877,0,0,2576.3417702479114,2716.1242677023397,2732.786261144564,inf,inf,inf,15.421725642920379,15.2465070712971,59170,493573,2019733,1,Соловьёв LIVE | Круглосуточный канал,"В прямом эфире Соловьёв LIVE – новости и размышления, прямые включения корреспондентов, обсуждение повестки с признанными экспертами из разных областей.",Телепередачи,3ef4be14-89d9-40d2-aebd-16e31e2ca37d,152
85372f69-97fc-485d-ae4a-91e36aeb4db3,2024-08-04 21:00:09+03:00,3985,2307656,2307656,2088596,113042,3374,530,6727.72,0.1312364861370988,0.01943889579411241,0.027721972080766218,47.72009522186196,0.00028727432208047895,0.14620896702108113,0.022967028014574096,0.03180716709942903,49.77522646356303,0.00030333810585286543,0.0,0.0,0.0,0.0,0.0,0,0,1677.8986217512074,2458.751856270911,2550.8822025466534,0.24940078091109727,0.3654658422572448,0.37915998325534556,8.09782419147155,13.01693569841332,0,996680,1148641,1,"Выжить в Дубае. Возвращение, 8 выпуск","В новом шоу  звёздная и народная команда снова сойдутся в схватке за право ночевать в отеле, а не в пустыне, и за большой приз - 10 миллионов рублей. В шоу участвуют Саша Стоун и Надя Сысоева, Оксана Самойлова и Джиган, Торнике Квитатиани, Виктория Боня и Вячеслав Чепурченко.",Телепередачи,040fde41-7395-443c-866d-287264c207e7,276
bed03c04-a38b-4933-bc95-fec544c8bdf8,2022-05-19 15:11:57+03:00,56460,31081723,3149072,966383,124618,9341,760,0.0,0.06477762957336791,0.00714002626287921,0.02514530988231374,55.265458932948945,0.0,0.0439177001986617,0.004858574208528735,0.021149087731242727,61.076120203031245,0.0,0.0,0.0,0.0,0.0,0.0,0,0,867.5626153525172,1177.6377326587906,1418.5733450997627,inf,inf,inf,8.09782419147155,13.01693569841332,0,534076,1923331,1,Первый канал. Прямой эфир,,Телепередачи,76834c51-19e3-4bef-ac42-dbbfc2e3be38,0
cd97ca5f-11c7-4443-bc06-f26644ac8b54,2024-06-30 21:00:06+03:00,9477,2756180,2756180,1808014,171291,3304,565,7411.92,0.08937983887292908,0.014325110314411282,0.018528617588138147,39.58166253137421,0.00033185583739948915,0.1198760603443897,0.020499386832500053,0.025941701920774406,45.24595635988941,0.0002902568047079654,0.0,0.0,0.0,0.0,0.0,0,0,1987.316835093496,2306.9959585489937,2564.0358419987083,0.2681244313340532,0.31125483795683084,0.34593409561877464,24.324756787704004,21.38758578927325,0,715642,1247060,1,"Выжить в Дубае. Возвращение, 3 выпуск","На ТНТ выходит новый сезон реалити «Выжить в Дубае. Возвращение» с Ляйсан Утяшевой и Павлом Волей. Сезон обещает быть захватывающим, ведь в звездной команде собрались суперзвезды, готовые на все ради победы: Саша Стоун и Надя Сысоева, Оксана Самойлова и Джиган, Торнике Квитатиани, Виктория Боня, а также актер Вячеслав Чепурченко.",Телепередачи,040fde41-7395-443c-866d-287264c207e7,331
e71fbe48-34a7-462c-af6a-2e44571de12e,2024-07-28 21:00:08+03:00,7015,2115690,2115690,2115690,103157,3117,341,6678.92,0.14732782212895085,0.01611767319408798,0.03133729421607135,50.766842023169744,0.0002835954227698765,0.14732782212895085,0.01611767319408798,0.03133729421607135,50.766842023169744,0.0002835954227698765,0.0,0.0,0.0,0.0,0.0,0,0,2217.6612251228707,2638.885692610921,2638.885692610921,0.33203889627707334,0.3951066478728479,0.3951066478728479,13.002786681440492,18.589585265922445,0,1074069,1074069,1,"Выжить в Дубае. Возвращение, 7 выпуск","В новом шоу  звёздная и народная команда снова сойдутся в схватке за право ночевать в отеле, а не в пустыне, и за большой приз - 10 миллионов рублей. В шоу участвуют Саша Стоун и Надя Сысоева, Оксана Самойлова и Джиган, Торнике Квитатиани, Виктория Боня и Вячеслав Чепурченко.",Телепередачи,040fde41-7395-443c-866d-287264c207e7,276
e34b4ee3-64f4-43b4-95fb-3ddd8b4d18d4,2024-07-14 21:00:08+03:00,3795,5261740,5261740,148744,19131,3878,268,6752.2,0.0961383316301834,0.0013445920507717958,0.01680740063464745,35.57319959124402,0.004033776152315388,0.07370185527981238,0.005093372154458411,0.016781520941741707,36.86518147989068,0.000532143359421028,0.0,0.0,0.0,0.0,0.0,0,0,2091.4012858710994,2025.0790620125854,1641.0998899603553,0.3097362764537631,0.2999139631546141,0.24304669440483923,8.09782419147155,13.01693569841332,0,52913,1939750,1,"Выжить в Дубае. Возвращение, 5 выпуск","В новом шоу  звёздная и народная команда снова сойдутся в схватке за право ночевать в отеле, а не в пустыне, и за большой приз - 10 миллионов рублей. В шоу участвуют Саша Стоун и Надя Сысоева, Оксана Самойлова и Джиган, Торнике Квитатиани, Виктория Боня и Вячеслав Чепурченко.",Телепередачи,040fde41-7395-443c-866d-287264c207e7,276
ef38bfc3-d07c-413c-9195-0070005ffa29,2019-06-06 10:44:42+03:00,102748,24627595,2612375,504529,50809,6079,652,0.0,0.014865349662754768,0.0019820466217006357,0.006342549189442034,61.32095479149861,0.0,0.01806785013637016,0.002296760610555529,0.007885544762907317,66.6521460356955,0.0004976314656203646,0.0,0.0,0.0,0.0,0.0,0,0,2388.810250152532,2853.1636734459266,2854.5516826642424,inf,inf,inf,24.324756787704004,21.38758578927325,0,309382,1741204,1,Прямой эфир ТНТ,"Для фанатов главного развлекательного канала ТНТ смотреть прямой эфир онлайн — отличное решение. Лучшие комедии, любимые герои, новые выпуски «ДОМ-2», Comedy Club, «Битва экстрасенсов» и многое другое. Смотреть бесплатно ТНТ онлайн — выбор современных людей с чувством юмора.",Телепередачи,040fde41-7395-443c-866d-287264c207e7,275
32c938cf-a55a-4a11-8d63-a632ce733e68,2023-04-30 13:54:22+03:00,32163,27360553,1996739,458664,62528,5537,552,0.0,0.01526171663788743,0.0021802452339839185,0.00828493188913889,49.6882249315403,0.0,0.01717800874325588,0.0022035929583185386,0.010066413286864232,56.62447620845789,0.0009014698465848566,0.0,0.0,0.0,0.0,0.0,0,0,538.920963408393,1337.442341234542,1424.9372081178362,inf,inf,inf,20.256534975856123,20.61010317027785,0,227902,1130643,1,Прямой эфир НТВ,"Прямой эфир НТВ. Новости, общественно-политические шоу, премьеры сериалов и фильмов, яркие шоу и множество познавательных передач. НТВ на RUTUBE. Подписывайтесь на канал: /",Телепередачи,0eefb18a-f8a5-44ed-92ee-19d7a4a775d1,172
3992c2aa-5666-4c96-af7c-8e4a0795ad93,2024-06-01 21:30:10+03:00,3987,3221480,2953793,85170,9859,6220,128,5518.28,0.07749207467418105,0.0023482446870963956,0.008218856404837384,37.23846424797464,0.005870611717740989,0.17323488815905516,0.003961008777527741,0.036901705705172975,50.70693850246107,0.000914078948660248,0.0,0.0,0.0,0.0,0.0,0,0,1741.8145856577746,1721.5634026065516,2177.390150562345,0.31564447357832054,0.31197463749692866,0.39457768554012207,20.31423425782828,20.871193892886776,0,31716,1497778,1,"Новая Битва экстрасенсов, 24 сезон, 11 выпуск","Экстрасенсы отправляются за Северный полярный круг в город Кировск, Мурманской области. У подножия древнего горного массива произошла трагедия, разбившая материнское сердце. В начале октября 2023 года  пропал 22-летний Александр.  Парня искали всем городом, прочесывали каждый сантиметр местности, но безуспешно.  Сашу нашли спустя 20 дней в том месте, где не раз проходили волонтеры. Как тело могло там появиться? Мог ли  молодой человек уйти из жизни добровольно? Экстрасенсам предстоит разобраться в этой трагической истории и ответить на главный вопрос безутешной матери: как умер ее младший сын?",Телепередачи,040fde41-7395-443c-866d-287264c207e7,600
ace8ea25-dbc9-4fb9-b19a-5f0defc415a1,2024-06-16 21:00:06+03:00,2919,2024510,2024510,657599,51212,3016,174,6743.0,0.09306583495412858,0.005170324164118254,0.02189784351861849,39.91429427356185,0.0009124101466091038,0.1489743197119303,0.008594672291072901,0.03551476653610009,48.21660549960237,0.0005433413517344938,0.0,0.0,0.0,0.0,0.0,0,0,2397.852046395376,2139.2114449687424,2876.85708690004,0.35560611692056593,0.3172492132535581,0.42664349501706067,19.190108454380255,21.210336779778427,0,262476,976150,1,"Выжить в Дубае. Возвращение, 1 выпуск","В новом шоу  звёздная и народная команда снова сойдутся в схватке за право ночевать в отеле, а не в пустыне, и за большой приз - 10 миллионов рублей. В шоу участвуют Саша Стоун и Надя Сысоева, Оксана Самойлова и Джиган, Торнике Квитатиани, Виктория Боня и Вячеслав Чепурченко.",Телепередачи,040fde41-7395-443c-866d-287264c207e7,276
